accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
AF427124,,14-NOV-2001,AF427124,Bovine rotavirus A,genomic RNA,,taxon:35333,,,,16923548,981,"{'gb': ['AF427124.1'], 'gi': ['16923548']}",05-FEB-2002,2002-02-05,No information,,,,,,
EU143711,,02-OCT-2007,EU143711,Bovine rotavirus,genomic RNA,,taxon:10927,,,,157713483,981,"{'gb': ['EU143711.1'], 'gi': ['157713483']}",02-OCT-2007,2007-10-02,No information,,,genotype: G6P[5],G6P[5],G6,P5
FJ598309,,04-FEB-2009,FJ598309,Bovine rotavirus A,genomic RNA,cell culture-adapted virus,taxon:35333,Turkey,2006,,222160824,981,"{'gb': ['FJ598309.1'], 'gi': ['222160824']}",04-FEB-2009,2009-02-04,Asia,bovine,,genotype: G6[P5],G6[P5],G6,None
FJ598310,,04-FEB-2009,FJ598310,Bovine rotavirus A,genomic RNA,cell culture-adapted virus,taxon:35333,Turkey,2006,,222160826,981,"{'gb': ['FJ598310.1'], 'gi': ['222160826']}",04-FEB-2009,2009-02-04,Asia,bovine,,genotype: G6[P11],G6[P11],G6,None
FJ598311,,04-FEB-2009,FJ598311,Bovine rotavirus A,genomic RNA,cell culture-adapted virus,taxon:35333,Turkey,2006,,222160828,981,"{'gb': ['FJ598311.1'], 'gi': ['222160828']}",04-FEB-2009,2009-02-04,Asia,bovine,,genotype: G10[P15],G10[P15],G10,None
FJ598312,,04-FEB-2009,FJ598312,Bovine rotavirus A,genomic RNA,cell culture-adapted virus,taxon:35333,Turkey,2004,,222160830,981,"{'gb': ['FJ598312.1'], 'gi': ['222160830']}",04-FEB-2009,2009-02-04,Asia,bovine,,genotype: G10[P11],G10[P11],G10,None
AB486011,,26-FEB-2009,AB486011,Bovine rotavirus A,genomic RNA,feces,taxon:35333,Japan,Mar-1998,,224176131,981,"{'dbj': ['AB486011.1'], 'gi': ['224176131']}",12-SEP-2009,2009-09-12,Asia,,Hokkaido,,,,
AB573873,,04-AUG-2010,AB573873,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Japan,2009-06,,302148415,981,"{'dbj': ['AB573873.1'], 'gi': ['302148415']}",11-JUL-2014,2014-07-11,Asia,Sus scrofa domesticus,Gunma,,,,
AB573875,,04-AUG-2010,AB573875,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Japan,2009-06,,302148419,981,"{'dbj': ['AB573875.1'], 'gi': ['302148419']}",11-JUL-2014,2014-07-11,Asia,Sus scrofa domesticus,Gunma,,,,
AB573877,,04-AUG-2010,AB573877,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Japan,2009-06,,302148423,981,"{'dbj': ['AB573877.1'], 'gi': ['302148423']}",11-JUL-2014,2014-07-11,Asia,Sus scrofa domesticus,Gunma,,,,
AB573879,,04-AUG-2010,AB573879,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Japan,2009-06,,302148427,981,"{'dbj': ['AB573879.1'], 'gi': ['302148427']}",11-JUL-2014,2014-07-11,Asia,Sus scrofa domesticus,Gunma,,,,
HM235510,,11-OCT-2010,HM235510,Bovine rotavirus,genomic RNA,,taxon:10927,India,2008,,308197879,981,"{'gb': ['HM235510.1'], 'gi': ['308197879']}",01-NOV-2012,2012-11-01,Asia,buffalo,,genotype: G3,G3,G3,None
JX498954,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498954,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183936,981,"{'gb': ['JX498954.1'], 'gi': ['409183936']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G4,G4,G4,None
JX498956,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498956,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183940,981,"{'gb': ['JX498956.1'], 'gi': ['409183940']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G4,G4,G4,None
JX498957,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498957,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183942,981,"{'gb': ['JX498957.1'], 'gi': ['409183942']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G4,G4,G4,None
JX498959,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498959,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183946,981,"{'gb': ['JX498959.1'], 'gi': ['409183946']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G5,G5,G5,None
JX498963,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498963,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183954,981,"{'gb': ['JX498963.1'], 'gi': ['409183954']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G5,G5,G5,None
JX498965,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498965,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183958,981,"{'gb': ['JX498965.1'], 'gi': ['409183958']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G11,G11,G11,None
KJ482510,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482510,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185874,981,"{'gb': ['KJ482510.1'], 'gi': ['743185874']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
KJ482511,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482511,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185876,981,"{'gb': ['KJ482511.1'], 'gi': ['743185876']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
KJ482512,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482512,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185878,981,"{'gb': ['KJ482512.1'], 'gi': ['743185878']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
KJ482514,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482514,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185882,981,"{'gb': ['KJ482514.1'], 'gi': ['743185882']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
KJ482515,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482515,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185884,981,"{'gb': ['KJ482515.1'], 'gi': ['743185884']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
LC081149,,16-MAR-2016,LC081149,Porcine rotavirus A,genomic RNA,,taxon:10967,Japan,1980,,1007110110,981,"{'dbj': ['LC081149.1'], 'gi': ['1007110110']}",16-MAR-2016,2016-03-16,Asia,Sus scrofa,,,,,
KX363309,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363309,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,27-Mar-2012,,1040789367,981,"{'gb': ['KX363309.1'], 'gi': ['1040789367']}",02-JUL-2016,2016-07-02,Asia,Sus scrofa domesticus,,genotype: G4,G4,G4,None
KY649279,Sequencing Technology :: Sanger dideoxy sequencing,28-FEB-2018,KY649279,Rotavirus A,genomic RNA,,taxon:28875,China,Dec-2015,,1279615790,981,"{'gb': ['KY649279.1'], 'gi': ['1279615790']}",28-FEB-2018,2018-02-28,Asia,pig,Henan,genotype: G9,G9,G9,None
LC389890,,31-JUL-2018,LC389890,Human rotavirus A,genomic RNA,,taxon:10941,Sri Lanka,2009,,1436831124,981,"{'dbj': ['LC389890.1'], 'gi': ['1436831124']}",31-JUL-2018,2018-07-31,Asia,Homo sapiens,,genotype: G4-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G4-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G4,P6
MK410283,Sequencing Technology :: Sanger dideoxy sequencing,22-APR-2019,MK410283,Porcine rotavirus A,genomic RNA,,taxon:10967,China,2018,,1619604993,981,"{'gb': ['MK410283.1'], 'gi': ['1619604993']}",22-APR-2019,2019-04-22,Asia,porcine,,,,,
MN862084,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862084,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761030,981,"{'gb': ['MN862084.1'], 'gi': ['1877761030']}",27-JUL-2020,2020-07-27,North America,pig,North Carolina,genotype: G3,G3,G3,None
MN862085,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862085,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761032,981,"{'gb': ['MN862085.1'], 'gi': ['1877761032']}",27-JUL-2020,2020-07-27,North America,pig,North Carolina,genotype: G3,G3,G3,None
MN862086,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862086,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761034,981,"{'gb': ['MN862086.1'], 'gi': ['1877761034']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G3,G3,G3,None
MN862087,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862087,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761036,981,"{'gb': ['MN862087.1'], 'gi': ['1877761036']}",27-JUL-2020,2020-07-27,North America,pig,North Carolina,genotype: G3,G3,G3,None
MN862089,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862089,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761040,981,"{'gb': ['MN862089.1'], 'gi': ['1877761040']}",27-JUL-2020,2020-07-27,North America,pig,Missouri,genotype: G3,G3,G3,None
MN862103,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862103,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761068,981,"{'gb': ['MN862103.1'], 'gi': ['1877761068']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
MN862115,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862115,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761092,981,"{'gb': ['MN862115.1'], 'gi': ['1877761092']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
MN862124,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862124,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761110,981,"{'gb': ['MN862124.1'], 'gi': ['1877761110']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G4,G4,G4,None
MN862125,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862125,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761112,981,"{'gb': ['MN862125.1'], 'gi': ['1877761112']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G4,G4,G4,None
MN862129,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862129,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761120,981,"{'gb': ['MN862129.1'], 'gi': ['1877761120']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862132,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862132,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761126,981,"{'gb': ['MN862132.1'], 'gi': ['1877761126']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862133,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862133,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761128,981,"{'gb': ['MN862133.1'], 'gi': ['1877761128']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G4,G4,G4,None
MN862135,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862135,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761132,981,"{'gb': ['MN862135.1'], 'gi': ['1877761132']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862137,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862137,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761136,981,"{'gb': ['MN862137.1'], 'gi': ['1877761136']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862143,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862143,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761148,981,"{'gb': ['MN862143.1'], 'gi': ['1877761148']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G4,G4,G4,None
MN862146,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862146,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761154,981,"{'gb': ['MN862146.1'], 'gi': ['1877761154']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862147,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862147,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761156,981,"{'gb': ['MN862147.1'], 'gi': ['1877761156']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862149,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862149,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761160,981,"{'gb': ['MN862149.1'], 'gi': ['1877761160']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
MN862160,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862160,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761182,981,"{'gb': ['MN862160.1'], 'gi': ['1877761182']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G5,G5,G5,None
MN862161,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862161,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761184,981,"{'gb': ['MN862161.1'], 'gi': ['1877761184']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G5,G5,G5,None
MN862162,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862162,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761186,981,"{'gb': ['MN862162.1'], 'gi': ['1877761186']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G5,G5,G5,None
MN862163,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862163,Rotavirus A,genomic RNA,,taxon:28875,USA,2010,Douglas Marthaler,1877761188,981,"{'gb': ['MN862163.1'], 'gi': ['1877761188']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G5,G5,G5,None
MN862164,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862164,Rotavirus A,genomic RNA,,taxon:28875,USA,2011,Douglas Marthaler,1877761190,981,"{'gb': ['MN862164.1'], 'gi': ['1877761190']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G5,G5,G5,None
MN862165,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862165,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761192,981,"{'gb': ['MN862165.1'], 'gi': ['1877761192']}",27-JUL-2020,2020-07-27,North America,pig,Pennsylvania,genotype: G5,G5,G5,None
MN862166,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862166,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761194,981,"{'gb': ['MN862166.1'], 'gi': ['1877761194']}",27-JUL-2020,2020-07-27,North America,pig,Pennsylvania,genotype: G5,G5,G5,None
MN862167,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862167,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761196,981,"{'gb': ['MN862167.1'], 'gi': ['1877761196']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G5,G5,G5,None
MN862168,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862168,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761198,981,"{'gb': ['MN862168.1'], 'gi': ['1877761198']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G5,G5,G5,None
MN862177,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862177,Rotavirus A,genomic RNA,,taxon:28875,USA,2008,Douglas Marthaler,1877761216,981,"{'gb': ['MN862177.1'], 'gi': ['1877761216']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862178,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862178,Rotavirus A,genomic RNA,,taxon:28875,USA,2008,Douglas Marthaler,1877761218,981,"{'gb': ['MN862178.1'], 'gi': ['1877761218']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862179,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862179,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761220,981,"{'gb': ['MN862179.1'], 'gi': ['1877761220']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862180,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862180,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761222,981,"{'gb': ['MN862180.1'], 'gi': ['1877761222']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862181,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862181,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761224,981,"{'gb': ['MN862181.1'], 'gi': ['1877761224']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862182,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862182,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761226,981,"{'gb': ['MN862182.1'], 'gi': ['1877761226']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862183,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862183,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761228,981,"{'gb': ['MN862183.1'], 'gi': ['1877761228']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862184,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862184,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761230,981,"{'gb': ['MN862184.1'], 'gi': ['1877761230']}",27-JUL-2020,2020-07-27,North America,pig,Arkansas,genotype: G9,G9,G9,None
MN862185,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862185,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761232,981,"{'gb': ['MN862185.1'], 'gi': ['1877761232']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862186,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862186,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761234,981,"{'gb': ['MN862186.1'], 'gi': ['1877761234']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862187,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862187,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761236,981,"{'gb': ['MN862187.1'], 'gi': ['1877761236']}",27-JUL-2020,2020-07-27,North America,pig,Arkansas,genotype: G9,G9,G9,None
MN862188,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862188,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761238,981,"{'gb': ['MN862188.1'], 'gi': ['1877761238']}",27-JUL-2020,2020-07-27,North America,pig,Arkansas,genotype: G9,G9,G9,None
MN862189,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862189,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761240,981,"{'gb': ['MN862189.1'], 'gi': ['1877761240']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862190,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862190,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761242,981,"{'gb': ['MN862190.1'], 'gi': ['1877761242']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862191,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862191,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761244,981,"{'gb': ['MN862191.1'], 'gi': ['1877761244']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862192,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862192,Rotavirus A,genomic RNA,,taxon:28875,USA,2009,Douglas Marthaler,1877761246,981,"{'gb': ['MN862192.1'], 'gi': ['1877761246']}",27-JUL-2020,2020-07-27,North America,pig,Missouri,genotype: G9,G9,G9,None
MN862193,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862193,Rotavirus A,genomic RNA,,taxon:28875,USA,2010,Douglas Marthaler,1877761248,981,"{'gb': ['MN862193.1'], 'gi': ['1877761248']}",27-JUL-2020,2020-07-27,North America,pig,Tennessee,genotype: G9,G9,G9,None
MN862194,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862194,Rotavirus A,genomic RNA,,taxon:28875,USA,2010,Douglas Marthaler,1877761250,981,"{'gb': ['MN862194.1'], 'gi': ['1877761250']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862195,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862195,Rotavirus A,genomic RNA,,taxon:28875,USA,2011,Douglas Marthaler,1877761252,981,"{'gb': ['MN862195.1'], 'gi': ['1877761252']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862196,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862196,Rotavirus A,genomic RNA,,taxon:28875,USA,2011,Douglas Marthaler,1877761254,981,"{'gb': ['MN862196.1'], 'gi': ['1877761254']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862197,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862197,Rotavirus A,genomic RNA,,taxon:28875,USA,2011,Douglas Marthaler,1877761256,981,"{'gb': ['MN862197.1'], 'gi': ['1877761256']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862198,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862198,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761258,981,"{'gb': ['MN862198.1'], 'gi': ['1877761258']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862199,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862199,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761260,981,"{'gb': ['MN862199.1'], 'gi': ['1877761260']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862200,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862200,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761262,981,"{'gb': ['MN862200.1'], 'gi': ['1877761262']}",27-JUL-2020,2020-07-27,North America,pig,Indiana,genotype: G9,G9,G9,None
MN862201,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862201,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761264,981,"{'gb': ['MN862201.1'], 'gi': ['1877761264']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862202,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862202,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761266,981,"{'gb': ['MN862202.1'], 'gi': ['1877761266']}",27-JUL-2020,2020-07-27,North America,pig,Pennsylvania,genotype: G9,G9,G9,None
MN862206,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862206,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761274,981,"{'gb': ['MN862206.1'], 'gi': ['1877761274']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862207,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862207,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761276,981,"{'gb': ['MN862207.1'], 'gi': ['1877761276']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862208,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862208,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761278,981,"{'gb': ['MN862208.1'], 'gi': ['1877761278']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862209,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862209,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761280,981,"{'gb': ['MN862209.1'], 'gi': ['1877761280']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862213,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862213,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761288,981,"{'gb': ['MN862213.1'], 'gi': ['1877761288']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862214,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862214,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761290,981,"{'gb': ['MN862214.1'], 'gi': ['1877761290']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862215,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862215,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761292,981,"{'gb': ['MN862215.1'], 'gi': ['1877761292']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
